<DTYYYYMMDD>,<VALUE>
1399/7/28,1462283.2
1399/7/27,1514272.54
1399/7/23,1561416.08
1399/7/22,1579675.66
1399/7/21,1579507.3
1399/7/20,1597125.42
1399/7/19,1541822.8
1399/7/16,1540700.01
1399/7/15,1514698.24
1399/7/14,1490173.09
1399/7/13,1522980.88
1399/7/12,1546154.72
1399/7/9,1503426.84
1399/7/8,1492939.81
1399/7/7,1515929.98
1399/7/6,1570888.25
1399/7/5,1615531.23
1399/7/2,1611582.46
1399/7/1,1581180.12
1399/6/31,1595160.11
1399/6/30,1652235.68
1399/6/29,1699493.99
1399/6/26,1704108.46
1399/6/25,1664592.81
1399/6/24,1607587.14
1399/6/23,1578190.12
1399/6/22,1583753.62
1399/6/19,1556280.32
1399/6/18,1570010
1399/6/17,1607195.33
1399/6/16,1647781.84
1399/6/15,1642007.7
1399/6/12,1631941.3
1399/6/11,1684786.6
1399/6/10,1728035.3
1399/6/5,1718783.4
1399/6/4,1650044.3
1399/6/3,1608581.7
1399/6/2,1662215.4
1399/6/1,1727239.5
1399/5/29,1757229.2
1399/5/28,1825353
1399/5/27,1815754.7
1399/5/26,1813565.7
1399/5/25,1903267.6
1399/5/22,1975439.7
1399/5/21,1999843.4
1399/5/20,2065114.3
1399/5/19,2078546.8
1399/5/15,2034192.5
1399/5/14,1995044.41
1399/5/13,1993340.2
1399/5/12,2011524.29
1399/5/11,1961621.75
1399/5/8,1904324.24
1399/5/7,1941193.45
1399/5/6,1933935.58
1399/5/5,1946086.23
1399/5/4,1952910.02
1399/5/1,1916194.1
1399/4/31,1916194.06
1399/4/30,1911792.58
1399/4/29,1865027.51
1399/4/28,1809172.08
1399/4/25,1841700.7
1399/4/24,1844907.3
1399/4/23,1822083.06
1399/4/22,1812843.11
1399/4/21,1741353.7
1399/4/18,1753642.8
1399/4/17,1747078.6
1399/4/16,1718350.1
1399/4/15,1718350.1
1399/4/14,1621343.3
1399/4/11,1612902
1399/4/10,1546845.4
1399/4/9,1481938.41
1399/4/8,1491927.69
1399/4/7,1466277.49
1399/4/4,1419453.46
1399/4/3,1391025.41
1399/4/2,1341578.79
1399/4/1,1300812.77
1399/3/31,1270627.11
1399/3/27,1229673.6
1399/3/26,1200100.36
1399/3/25,1185421.9
1399/3/24,1189857.91
1399/3/21,1153679.68
1399/3/20,1118117.98
1399/3/19,1118912.05
1399/3/18,1116186.75
1399/3/17,1068844.02
1399/3/13,1028537.75
1399/3/12,988120.632
1399/3/11,970412.85
1399/3/10,973494.447
1399/3/7,938557.22
1399/3/6,926132.846
1399/3/3,959840.359
1399/2/31,986759.202
1399/2/30,1002124.48
1399/2/29,995180.566
1399/2/28,968460.257
1399/2/27,987475.228
1399/2/24,1017662.48
1399/2/23,1021445.18
1399/2/22,1047763.19
1399/2/21,1043252.5
1399/2/20,1020217.53
1399/2/17,977923.444
1399/2/16,980571.084
1399/2/15,979105.257
1399/2/14,956199.929
1399/2/13,917406.053
1399/2/10,878101.219
1399/2/9,845952.37
1399/2/8,820505.358
1399/2/7,797813.367
1399/2/6,769372.738
1399/2/3,741931.994
1399/2/2,726136.658
1399/2/1,708994.691
1399/1/31,690036.947
1399/1/30,668905.505
1399/1/27,645762.527
1399/1/26,626408.681
1399/1/25,624528.482
1399/1/24,623259.81
1399/1/23,607855.847
1399/1/20,597253.86
1399/1/19,583382.99
1399/1/18,569673.694
1399/1/17,573904.037
1399/1/16,567425.561
1399/1/11,547658.505
1399/1/10,545649.374
1399/1/9,532525.281
1399/1/6,521267.671
1399/1/5,508661.529
