<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.China.Clay,20100508,5487.00,5487.00,5487.00,5634.00,8680434,1582,1,D,5643.00,5487.00
Iran.China.Clay,20100505,5487.00,5487.00,5487.00,5643.00,32922000,6000,6,D,5685.00,5487.00
Iran.China.Clay,20100503,5521.00,5521.00,5521.00,5685.00,27605000,5000,2,D,5721.00,5521.00
Iran.China.Clay,20100501,5525.00,5525.00,5525.00,5721.00,2801175,507,1,D,5725.00,5525.00
Iran.China.Clay,20100426,5539.00,5539.00,5539.00,5725.00,11078000,2000,1,D,5739.00,5539.00
Iran.China.Clay,20100418,5720.00,5720.00,5720.00,5739.00,11440000,2000,1,D,5740.00,5720.00
Iran.China.Clay,20100417,5740.00,5750.00,5740.00,5740.00,31811400,5540,4,D,5739.00,5750.00
Iran.China.Clay,20100414,5722.00,5739.00,5722.00,5739.00,219634134,38272,2,D,5929.00,5739.00
Iran.China.Clay,20100413,5750.00,5750.00,5750.00,5929.00,19895000,3460,2,D,5954.00,5750.00
Iran.China.Clay,20100410,6146.00,6146.00,5950.00,5954.00,322766850,54207,5,D,5939.00,5950.00
Iran.China.Clay,20100407,5939.00,5939.00,5939.00,5939.00,260128200,43800,3,D,5739.00,5939.00
Iran.China.Clay,20100406,5739.00,5739.00,5739.00,5739.00,210271221,36639,8,D,5545.00,5739.00
Iran.China.Clay,20100405,5545.00,5545.00,5545.00,5545.00,199620000,36000,4,D,5358.00,5545.00
Iran.China.Clay,20100403,5465.00,5465.00,5465.00,5358.00,63885850,11690,2,D,5281.00,5465.00
Iran.China.Clay,20100331,5281.00,5281.00,5281.00,5281.00,148396100,28100,10,D,5103.00,5281.00
Iran.China.Clay,20100330,5103.00,5103.00,5103.00,5103.00,142884000,28000,11,D,4931.00,5103.00
Iran.China.Clay,20100329,5043.00,5043.00,5043.00,4931.00,48448101,9607,1,D,4873.00,5043.00
Iran.China.Clay,20100328,5031.00,5031.00,5031.00,4873.00,10062000,2000,1,D,4861.00,5031.00
Iran.China.Clay,20100327,5031.00,5031.00,5031.00,4861.00,25155,5,1,D,4861.00,5031.00
Iran.China.Clay,20100317,5030.00,5030.00,5030.00,4861.00,1156900,230,3,D,4860.00,5030.00
Iran.China.Clay,20100314,5009.00,5009.00,5009.00,4860.00,16679970,3330,1,D,4840.00,5009.00
Iran.China.Clay,20100313,5006.00,5006.00,5006.00,4840.00,2708246,541,1,D,4837.00,5006.00
Iran.China.Clay,20100310,4994.00,4994.00,4994.00,4837.00,8989200,1800,1,D,4826.00,4994.00
Iran.China.Clay,20100309,4826.00,4826.00,4826.00,4826.00,142883382,29607,4,D,4663.00,4826.00
Iran.China.Clay,20100308,4663.00,4665.00,4663.00,4663.00,133089683,28541,5,D,4508.00,4665.00
Iran.China.Clay,20100307,4508.00,4508.00,4508.00,4508.00,45080000,10000,1,D,4508.00,4508.00
Iran.China.Clay,20100302,4500.00,4500.00,4480.00,4508.00,53877413,12004,8,D,4522.00,4480.00
Iran.China.Clay,20100301,4680.00,4680.00,4680.00,4522.00,46800,10,1,D,4522.00,4680.00
Iran.China.Clay,20100227,4522.00,4522.00,4522.00,4522.00,6783000,1500,1,D,4522.00,4522.00
Iran.China.Clay,20100222,4500.00,4500.00,4500.00,4522.00,35370000,7860,2,D,4531.00,4500.00
Iran.China.Clay,20100221,4400.00,4400.00,4400.00,4531.00,21692000,4930,2,D,4559.00,4400.00
Iran.China.Clay,20100214,4500.00,4500.00,4500.00,4559.00,90000,20,2,D,4559.00,4500.00
Iran.China.Clay,20100208,4450.00,4450.00,4450.00,4559.00,8900000,2000,1,D,4567.00,4450.00
Iran.China.Clay,20100201,4690.00,4700.00,4566.00,4567.00,19075000,4120,3,D,4556.00,4566.00
Iran.China.Clay,20100130,4557.00,4557.00,4556.00,4556.00,13505348,2964,3,D,4556.00,4556.00
Iran.China.Clay,20100126,4557.00,4557.00,4557.00,4556.00,2278500,500,2,D,4556.00,4557.00
Iran.China.Clay,20100125,4558.00,4558.00,4557.00,4556.00,15950130,3500,3,D,4556.00,4557.00
Iran.China.Clay,20100124,4600.00,4600.00,4600.00,4556.00,15640000,3400,3,D,4550.00,4600.00
Iran.China.Clay,20100118,4394.00,4394.00,4394.00,4550.00,2293668,522,1,D,4553.00,4394.00
Iran.China.Clay,20100117,4690.00,4690.00,4690.00,4553.00,5440400,1160,2,D,4547.00,4690.00
Iran.China.Clay,20100116,4424.00,4424.00,4404.00,4547.00,13856392,3133,2,D,4563.00,4404.00
Iran.China.Clay,20100113,4417.00,4417.00,4417.00,4563.00,11042500,2500,1,D,4577.00,4417.00
Iran.China.Clay,20100112,4446.00,4446.00,4424.00,4577.00,4639516,1046,2,D,4582.00,4424.00
Iran.China.Clay,20100109,4446.00,4450.00,4446.00,4582.00,19810484,4454,4,D,4607.00,4446.00
