<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ToseAtlasMofid.ETF,20180224,14850.00,14850.00,14850.00,14850.00,26284500,1770,2,D,14467.00,14850.00
ToseAtlasMofid.ETF,20180221,14467.00,14467.00,14467.00,14467.00,21700500,1500,2,D,14488.00,14467.00
ToseAtlasMofid.ETF,20180219,14501.00,14501.00,14400.00,14488.00,49260800,3400,3,D,14709.00,14400.00
ToseAtlasMofid.ETF,20180217,14790.00,14800.00,14700.00,14709.00,163270800,11100,5,D,14923.00,14700.00
ToseAtlasMofid.ETF,20180214,15000.00,15000.00,14801.00,14923.00,13878335,930,7,D,15015.00,14935.00
ToseAtlasMofid.ETF,20180210,14850.00,15020.00,14850.00,15015.00,940024000,62605,3,D,14870.00,15020.00
ToseAtlasMofid.ETF,20180207,14870.00,14870.00,14870.00,14870.00,2200760,148,2,D,14875.00,14870.00
ToseAtlasMofid.ETF,20180206,14750.00,14876.00,14750.00,14875.00,892081480,59972,7,D,14861.00,14876.00
ToseAtlasMofid.ETF,20180205,14861.00,14861.00,14861.00,14861.00,127789739,8599,3,D,15049.00,14861.00
ToseAtlasMofid.ETF,20180204,15049.00,15049.00,15049.00,15049.00,38751175,2575,3,D,15212.00,15049.00
ToseAtlasMofid.ETF,20180203,15211.00,15212.00,15211.00,15212.00,60847170,4000,5,D,15254.00,15212.00
ToseAtlasMofid.ETF,20180131,15000.00,15274.00,15000.00,15254.00,21431200,1405,2,D,15510.00,15274.00
ToseAtlasMofid.ETF,20180130,15510.00,15510.00,15510.00,15510.00,1008150,65,1,D,15427.00,15510.00
ToseAtlasMofid.ETF,20180129,15410.00,15430.00,15400.00,15427.00,939511123,60902,16,D,15364.00,15411.00
ToseAtlasMofid.ETF,20180128,15333.00,15380.00,15333.00,15364.00,11523250,750,3,D,15331.00,15380.00
ToseAtlasMofid.ETF,20180127,15330.00,15332.00,15330.00,15331.00,261166550,17035,9,D,15325.00,15332.00
ToseAtlasMofid.ETF,20180124,15245.00,15340.00,15245.00,15325.00,46773315,3052,13,D,15185.00,15340.00
ToseAtlasMofid.ETF,20180123,15149.00,15245.00,15149.00,15185.00,72994515,4807,3,D,15131.00,15245.00
ToseAtlasMofid.ETF,20180122,15132.00,15132.00,15129.00,15131.00,65666880,4340,4,D,14878.00,15129.00
ToseAtlasMofid.ETF,20180120,14824.00,14940.00,14824.00,14878.00,245253976,16484,6,D,14800.00,14940.00
ToseAtlasMofid.ETF,20180117,14770.00,14825.00,14750.00,14800.00,94188800,6364,16,D,14579.00,14825.00
ToseAtlasMofid.ETF,20180115,14579.00,14579.00,14579.00,14579.00,60750693,4167,1,D,14579.00,14579.00
ToseAtlasMofid.ETF,20180114,14578.00,14579.00,14578.00,14579.00,83899501,5755,3,D,14577.00,14579.00
ToseAtlasMofid.ETF,20180108,14577.00,14577.00,14577.00,14577.00,2915400,200,1,D,14580.00,14577.00
ToseAtlasMofid.ETF,20180107,14580.00,14580.00,14580.00,14580.00,2478600,170,1,D,14211.00,14580.00
ToseAtlasMofid.ETF,20180106,14580.00,14580.00,14186.00,14211.00,30354880,2136,2,D,14191.00,14186.00
